Label,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025
Rental Income,0.00,0.00,0.00,0.00,0.00,1838.06,0.00,4057.00,2734.00,2734.00,5319.18,5743.31
Mortgage,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3012.00,0.00,5825.69,1810.69,1810.69
Insurance,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,633.00,647.00,0.00
HOA,0.00,0.00,0.00,0.00,0.00,0.00,776.05,389.02,0.00,801.05,389.02,389.02
Utilities,0.00,0.00,0.00,0.00,0.00,0.00,23.21,64.86,0.00,60.68,227.21,102.85
Repair & Maintenance,0.00,0.00,0.00,0.00,0.00,150.00,350.00,525.00,4589.00,2500.00,5567.39,7149.23
Professional Fees,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,845.00,845.00,0.00
Office Expenses,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,375.00,0.00,169.00
